member_casual,rideable_type,ride_year,ride_month,day_of_week,hour_of_day,number_of_rides,avg_ride_duration,avg_ride_distance
casual,classic_bike,2022,Sep,Tuesday,23,136,19.590441176470588,1678.0042648876754
casual,classic_bike,2022,Sep,Wednesday,0,77,17.68030303030303,1733.8268439618603
casual,classic_bike,2022,Sep,Wednesday,1,27,10.288271604938272,1638.3513988573625
casual,classic_bike,2022,Sep,Wednesday,2,21,20.87936507936508,1927.269526996697
casual,classic_bike,2022,Sep,Wednesday,3,13,11.537179487179488,1370.2298396276776
casual,classic_bike,2022,Sep,Wednesday,4,15,12.125555555555556,1999.682174799481
casual,classic_bike,2022,Sep,Wednesday,5,49,9.960884353741497,1823.945289239489
casual,classic_bike,2022,Sep,Wednesday,6,183,12.895628415300546,1823.8872321612635
casual,classic_bike,2022,Sep,Wednesday,7,343,14.434305150631682,2021.6603039485972
casual,classic_bike,2022,Sep,Wednesday,8,519,16.786962106615285,1928.0329140866963
casual,classic_bike,2022,Sep,Wednesday,9,339,21.688397246804325,1906.8640648794076
casual,classic_bike,2022,Sep,Wednesday,10,333,26.047947947947947,2383.165331530326
casual,classic_bike,2022,Sep,Wednesday,11,393,23.303095843935537,2215.1854927273494
casual,classic_bike,2022,Sep,Wednesday,12,447,23.115697240865025,2214.7153222966963
casual,classic_bike,2022,Sep,Wednesday,13,470,22.378156028368796,2273.3319253427594
